Rk,Wk,Date,Time,Day,Winner,Pts_winner,X8,Loser,Pts_loser,Notes
1,1,2019-08-24,NA,Sat,Florida,24,N,Miami (FL),20,Camping World Stadium - Orlando Florida
2,1,2019-08-24,NA,Sat,Hawaii,45,NA,Arizona,38,Aloha Stadium - Honolulu Hawaii
3,2,2019-08-29,NA,Thu,Alabama-Birmingham,24,NA,Alabama State,19,Legion Field - Birmingham Alabama
4,2,2019-08-29,NA,Thu,Arizona State,30,NA,Kent State,7,Sun Devil Stadium - Tempe Arizona
5,2,2019-08-29,NA,Thu,Bowling Green State,46,NA,Morgan State,3,Doyt Perry Stadium - Bowling Green Ohio
6,2,2019-08-29,NA,Thu,Buffalo,38,NA,Robert Morris,10,UB Stadium - Buffalo New York
7,2,2019-08-29,NA,Thu,Central Arkansas,35,@,Western Kentucky,28,Houchens Industries-L.T. Smith Stadium - Bowling Green Kentucky
8,2,2019-08-29,NA,Thu,Central Florida,62,NA,Florida A&M,0,Spectrum Stadium - Orlando Florida
9,2,2019-08-29,NA,Thu,Central Michigan,38,NA,Albany,21,Kelly/Shorts Stadium - Mount Pleasant Michigan
10,2,2019-08-29,NA,Thu,Charlotte,49,NA,Gardner-Webb,28,Jerry Richardson Stadium - Charlotte North Carolina
11,2,2019-08-29,NA,Thu,Cincinnati,24,NA,UCLA,14,Nippert Stadium - Cincinnati Ohio
12,2,2019-08-29,NA,Thu,Clemson,52,NA,Georgia Tech,14,Clemson Memorial Stadium - Clemson South Carolina
13,2,2019-08-29,NA,Thu,Connecticut,24,NA,Wagner,21,Pratt & Whitney Stadium at Rentschler Field - East Hartford Connecticut
14,2,2019-08-29,NA,Thu,Minnesota,28,NA,South Dakota State,21,TCF Bank Stadium - Minneapolis Minnesota
15,2,2019-08-29,NA,Thu,San Jose State,35,NA,Northern Colorado,18,CEFCU Stadium - San Jose California
16,2,2019-08-29,NA,Thu,Texas A&M,41,NA,Texas State,7,Kyle Field - College Station Texas
17,2,2019-08-29,NA,Thu,Tulane,42,NA,Florida International,14,Yulman Stadium - New Orleans Louisiana
18,2,2019-08-29,NA,Thu,Utah,30,@,Brigham Young,12,LaVell Edwards Stadium - Provo Utah
19,2,2019-08-30,NA,Fri,Army,14,NA,Rice,7,Michie Stadium - West Point New York
20,2,2019-08-30,NA,Fri,Colorado,52,N,Colorado State,31,Empower Field at Mile High - Denver Colorado
21,2,2019-08-30,NA,Fri,Michigan State,28,NA,Tulsa,7,Spartan Stadium - East Lansing Michigan
22,2,2019-08-30,NA,Fri,Nevada,34,NA,Purdue,31,MacKay Stadium - Reno Nevada
23,2,2019-08-30,NA,Fri,Oklahoma State,52,@,Oregon State,36,Reser Stadium - Corvallis Oregon
24,2,2019-08-30,NA,Fri,Rutgers,48,NA,Massachusetts,21,SHI Stadium - Piscataway New Jersey
25,2,2019-08-30,NA,Fri,Wake Forest,38,NA,Utah State,35,BB&T Field - Winston-Salem North Carolina
26,2,2019-08-30,NA,Fri,Wisconsin,49,@,South Florida,0,Raymond James Stadium - Tampa Florida
27,2,2019-08-31,NA,Sat,Air Force,48,NA,Colgate,7,Falcon Stadium - Colorado Springs Colorado
28,2,2019-08-31,NA,Sat,Alabama,42,N,Duke,3,Mercedes-Benz Stadium - Atlanta Georgia
29,2,2019-08-31,NA,Sat,Appalachian State,42,NA,East Tennessee State,7,Kidd Brewer Stadium - Boone North Carolina
30,2,2019-08-31,NA,Sat,Arkansas,20,NA,Portland State,13,Donald W. Reynolds Razorback Stadium - Fayetteville Arkansas
31,2,2019-08-31,NA,Sat,Auburn,27,N,Oregon,21,AT&T Stadium - Arlington Texas
32,2,2019-08-31,NA,Sat,Baylor,56,NA,Stephen F. Austin,17,McLane Stadium - Waco Texas
33,2,2019-08-31,NA,Sat,Boise State,36,@,Florida State,31,Doak Campbell Stadium - Tallahassee Florida
34,2,2019-08-31,NA,Sat,Boston College,35,NA,Virginia Tech,28,Alumni Stadium - Chestnut Hill Massachusetts
35,2,2019-08-31,NA,Sat,California,27,NA,California-Davis,13,California Memorial Stadium - Berkeley California
36,2,2019-08-31,NA,Sat,Eastern Michigan,30,@,Coastal Carolina,23,Brooks Stadium - Conway South Carolina
37,2,2019-08-31,NA,Sat,Georgia,30,@,Vanderbilt,6,Vanderbilt Stadium - Nashville Tennessee
38,2,2019-08-31,NA,Sat,Georgia State,38,@,Tennessee,30,Neyland Stadium - Knoxville Tennessee
39,2,2019-08-31,NA,Sat,Illinois,42,NA,Akron,3,Memorial Stadium - Champaign Illinois
40,2,2019-08-31,NA,Sat,Indiana,34,N,Ball State,24,Lucas Oil Stadium - Indianapolis Indiana
41,2,2019-08-31,NA,Sat,Iowa,38,NA,Miami (OH),14,Kinnick Stadium - Iowa City Iowa
42,2,2019-08-31,NA,Sat,Iowa State,29,NA,Northern Iowa,26,Jack Trice Stadium - Ames Iowa
43,2,2019-08-31,NA,Sat,Kansas,24,NA,Indiana State,17,David Booth Kansas Memorial Stadium - Lawrence Kansas
44,2,2019-08-31,NA,Sat,Kansas State,49,NA,Nicholls State,14,Bill Snyder Family Stadium - Manhattan Kansas
45,2,2019-08-31,NA,Sat,Kentucky,38,NA,Toledo,24,Kroger Field - Lexington Kentucky
46,2,2019-08-31,NA,Sat,Louisiana State,55,NA,Georgia Southern,3,Tiger Stadium - Baton Rouge Louisiana
47,2,2019-08-31,NA,Sat,Louisiana-Monroe,31,NA,Grambling State,9,Malone Stadium - Monroe Louisiana
48,2,2019-08-31,NA,Sat,Marshall,56,NA,Virginia Military Institute,17,Joan C. Edwards Stadium - Huntington West Virginia
49,2,2019-08-31,NA,Sat,Maryland,79,NA,Howard,0,Capital One Field at Maryland Stadium - College Park Maryland
50,2,2019-08-31,NA,Sat,Memphis,15,NA,Mississippi,10,Liberty Bowl Memorial Stadium - Memphis Tennessee
51,2,2019-08-31,NA,Sat,Michigan,40,NA,Middle Tennessee State,21,Michigan Stadium - Ann Arbor Michigan
52,2,2019-08-31,NA,Sat,Mississippi State,38,N,Louisiana,28,Mercedes-Benz Superdome - New Orleans Louisiana
53,2,2019-08-31,NA,Sat,Navy,45,NA,Holy Cross,7,Navy-Marine Corps Memorial Stadium - Annapolis Maryland
54,2,2019-08-31,NA,Sat,Nebraska,35,NA,South Alabama,21,Memorial Stadium - Lincoln Nebraska
55,2,2019-08-31,NA,Sat,Nevada-Las Vegas,56,NA,Southern Utah,23,Sam Boyd Stadium - Las Vegas Nevada
56,2,2019-08-31,NA,Sat,New Mexico,39,NA,Sam Houston State,31,Dreamstyle Stadium - Albuquerque New Mexico
57,2,2019-08-31,NA,Sat,North Carolina,24,N,South Carolina,20,Bank of America Stadium - Charlotte North Carolina
58,2,2019-08-31,NA,Sat,North Carolina State,34,NA,East Carolina,6,Carter-Finley Stadium - Raleigh North Carolina
59,2,2019-08-31,NA,Sat,North Texas,51,NA,Abilene Christian,31,Apogee Stadium - Denton Texas
60,2,2019-08-31,NA,Sat,Northern Illinois,24,NA,Illinois State,10,Huskie Stadium - DeKalb Illinois
61,2,2019-08-31,NA,Sat,Ohio,41,NA,Rhode Island,20,Peden Stadium - Athens Ohio
62,2,2019-08-31,NA,Sat,Ohio State,45,NA,Florida Atlantic,21,Ohio Stadium - Columbus Ohio
63,2,2019-08-31,NA,Sat,Old Dominion,24,NA,Norfolk State,21,Foreman Field at S.B. Ballard Stadium - Norfolk Virginia
64,2,2019-08-31,NA,Sat,Penn State,79,NA,Idaho,7,Beaver Stadium - University Park Pennsylvania
65,2,2019-08-31,NA,Sat,San Diego State,6,NA,Weber State,0,SDCCU Stadium - San Diego California
66,2,2019-08-31,NA,Sat,Southern California,31,NA,Fresno State,23,Los Angeles Memorial Coliseum - Los Angeles California
67,2,2019-08-31,NA,Sat,Southern Methodist,37,@,Arkansas State,30,Centennial Bank Stadium - Jonesboro Arkansas
68,2,2019-08-31,NA,Sat,Southern Mississippi,38,NA,Alcorn State,10,M. M. Roberts Stadium - Hattiesburg Mississippi
69,2,2019-08-31,NA,Sat,Stanford,17,NA,Northwestern,7,Stanford Stadium - Stanford California
70,2,2019-08-31,NA,Sat,Syracuse,24,@,Liberty,0,Williams Stadium - Lynchburg Virginia
71,2,2019-08-31,NA,Sat,Temple,56,NA,Bucknell,12,Lincoln Financial Field - Philadelphia Pennsylvania
72,2,2019-08-31,NA,Sat,Texas,45,NA,Louisiana Tech,14,Darrell K Royal-Texas Memorial Stadium - Austin Texas
73,2,2019-08-31,NA,Sat,Texas Christian,39,NA,Arkansas-Pine Bluff,7,Amon G. Carter Stadium - Fort Worth Texas
74,2,2019-08-31,NA,Sat,Texas Tech,45,NA,Montana State,10,Jones AT&T Stadium - Lubbock Texas
75,2,2019-08-31,NA,Sat,Texas-El Paso,36,NA,Houston Baptist,34,Sun Bowl - El Paso Texas
76,2,2019-08-31,NA,Sat,Texas-San Antonio,35,NA,Incarnate Word,7,Alamodome - San Antonio Texas
77,2,2019-08-31,NA,Sat,Troy,43,NA,Campbell,14,Veterans Memorial Stadium - Troy Alabama
78,2,2019-08-31,NA,Sat,Virginia,30,@,Pittsburgh,14,Heinz Field - Pittsburgh Pennsylvania
79,2,2019-08-31,NA,Sat,Washington,47,NA,Eastern Washington,14,Husky Stadium - Seattle Washington
80,2,2019-08-31,NA,Sat,Washington State,58,NA,New Mexico State,7,Martin Stadium - Pullman Washington
81,2,2019-08-31,NA,Sat,West Virginia,20,NA,James Madison,13,Mountaineer Field at Milan Puskar Stadium - Morgantown West Virginia
82,2,2019-08-31,NA,Sat,Western Michigan,48,NA,Monmouth,13,Waldo Stadium - Kalamazoo Michigan
83,2,2019-08-31,NA,Sat,Wyoming,37,NA,Missouri,31,Jonah Field War Memorial Stadium - Laramie Wyoming
84,2,2019-09-01,NA,Sun,Oklahoma,49,NA,Houston,31,Gaylord Family - Oklahoma Memorial Stadium - Norman Oklahoma
85,2,2019-09-02,NA,Mon,Notre Dame,35,@,Louisville,17,Cardinal Stadium - Louisville Kentucky
86,3,2019-09-06,NA,Fri,Arizona State,19,NA,Sacramento State,7,Sun Devil Stadium - Tempe Arizona
87,3,2019-09-06,NA,Fri,Boise State,14,NA,Marshall,7,Albertsons Stadium - Boise Idaho
88,3,2019-09-06,NA,Fri,Virginia,52,NA,William & Mary,17,Scott Stadium - Charlottesville Virginia
89,3,2019-09-06,NA,Fri,Wake Forest,41,@,Rice,21,Rice Stadium - Houston Texas
90,3,2019-09-07,NA,Sat,Alabama,62,NA,New Mexico State,10,Bryant-Denny Stadium - Tuscaloosa Alabama
91,3,2019-09-07,NA,Sat,Alabama-Birmingham,31,@,Akron,20,InfoCision Stadium - Akron Ohio
92,3,2019-09-07,NA,Sat,Appalachian State,56,NA,Charlotte,41,Kidd Brewer Stadium - Boone North Carolina
93,3,2019-09-07,NA,Sat,Arizona,65,NA,Northern Arizona,41,Arizona Stadium - Tucson Arizona
94,3,2019-09-07,NA,Sat,Arkansas State,43,@,Nevada-Las Vegas,17,Sam Boyd Stadium - Las Vegas Nevada
95,3,2019-09-07,NA,Sat,Auburn,24,NA,Tulane,6,Jordan-Hare Stadium - Auburn Alabama
96,3,2019-09-07,NA,Sat,Ball State,57,NA,Fordham,29,Scheumann Stadium - Muncie Indiana
97,3,2019-09-07,NA,Sat,Baylor,63,NA,Texas-San Antonio,14,McLane Stadium - Waco Texas
98,3,2019-09-07,NA,Sat,Boston College,45,NA,Richmond,13,Alumni Stadium - Chestnut Hill Massachusetts
99,3,2019-09-07,NA,Sat,Brigham Young,29,@,Tennessee,26,Neyland Stadium - Knoxville Tennessee
100,3,2019-09-07,NA,Sat,California,20,@,Washington,19,Husky Stadium - Seattle Washington
101,3,2019-09-07,NA,Sat,Central Florida,48,@,Florida Atlantic,14,FAU Football Stadium - Boca Raton Florida
102,3,2019-09-07,NA,Sat,Clemson,24,NA,Texas A&M,10,Clemson Memorial Stadium - Clemson South Carolina
103,3,2019-09-07,NA,Sat,Coastal Carolina,12,@,Kansas,7,David Booth Kansas Memorial Stadium - Lawrence Kansas
104,3,2019-09-07,NA,Sat,Colorado,34,NA,Nebraska,31,Folsom Field - Boulder Colorado
105,3,2019-09-07,NA,Sat,Colorado State,38,NA,Western Illinois,13,Sonny Lubrick Field at Canvas Stadium - Fort Collins Colorado
106,3,2019-09-07,NA,Sat,Duke,45,NA,North Carolina A&T,13,Wallace Wade Stadium - Durham North Carolina
107,3,2019-09-07,NA,Sat,East Carolina,48,NA,Gardner-Webb,9,Dowdy-Ficklen Stadium - Greenville North Carolina
108,3,2019-09-07,NA,Sat,Florida,45,NA,Tennessee-Martin,0,Ben Hill Griffin Stadium - Gainesville Florida
109,3,2019-09-07,NA,Sat,Florida State,45,NA,Louisiana-Monroe,44,Doak Campbell Stadium - Tallahassee Florida
110,3,2019-09-07,NA,Sat,Georgia,63,NA,Murray State,17,Sanford Stadium - Athens Georgia
111,3,2019-09-07,NA,Sat,Georgia Southern,26,NA,Maine,18,Allen E. Paulson Stadium - Statesboro Georgia
112,3,2019-09-07,NA,Sat,Georgia State,48,NA,Furman,42,Georgia State Stadium - Atlanta Georgia
113,3,2019-09-07,NA,Sat,Georgia Tech,14,NA,South Florida,10,Bobby Dodd Stadium - Atlanta Georgia
114,3,2019-09-07,NA,Sat,Hawaii,31,NA,Oregon State,28,Aloha Stadium - Honolulu Hawaii
115,3,2019-09-07,NA,Sat,Houston,37,NA,Prairie View A&M,17,TDECU Stadium - Houston Texas
116,3,2019-09-07,NA,Sat,Illinois,31,@,Connecticut,23,Pratt & Whitney Stadium at Rentschler Field - East Hartford Connecticut
117,3,2019-09-07,NA,Sat,Indiana,52,NA,Eastern Illinois,0,"Memorial Stadium ""The Rock"" - Bloomington Indiana"
118,3,2019-09-07,NA,Sat,Iowa,30,NA,Rutgers,0,Kinnick Stadium - Iowa City Iowa
119,3,2019-09-07,NA,Sat,Kansas State,52,NA,Bowling Green State,0,Bill Snyder Family Stadium - Manhattan Kansas
120,3,2019-09-07,NA,Sat,Kent State,26,NA,Kennesaw State,23,Dix Stadium - Kent Ohio
121,3,2019-09-07,NA,Sat,Kentucky,38,NA,Eastern Michigan,17,Kroger Field - Lexington Kentucky
122,3,2019-09-07,NA,Sat,Louisiana,35,NA,Liberty,14,Cajun Field - Lafayette Louisiana
123,3,2019-09-07,NA,Sat,Louisiana State,45,@,Texas,38,Darrell K Royal-Texas Memorial Stadium - Austin Texas
124,3,2019-09-07,NA,Sat,Louisiana Tech,20,NA,Grambling State,14,Joe Aillet Stadium - Ruston Louisiana
125,3,2019-09-07,NA,Sat,Louisville,42,NA,Eastern Kentucky,0,Cardinal Stadium - Louisville Kentucky
126,3,2019-09-07,NA,Sat,Maryland,63,NA,Syracuse,20,Capital One Field at Maryland Stadium - College Park Maryland
127,3,2019-09-07,NA,Sat,Memphis,55,NA,Southern,24,Liberty Bowl Memorial Stadium - Memphis Tennessee
128,3,2019-09-07,NA,Sat,Miami (OH),48,NA,Tennessee Tech,17,Fred Yager Stadium - Oxford Ohio
129,3,2019-09-07,NA,Sat,Michigan,24,NA,Army,21,Michigan Stadium - Ann Arbor Michigan
130,3,2019-09-07,NA,Sat,Michigan State,51,NA,Western Michigan,17,Spartan Stadium - East Lansing Michigan
131,3,2019-09-07,NA,Sat,Middle Tennessee State,45,NA,Tennessee State,26,"Johnny ""Red"" Floyd Stadium - Murfreesboro Tennessee"
132,3,2019-09-07,NA,Sat,Minnesota,38,@,Fresno State,35,Bulldog Stadium - Fresno California
133,3,2019-09-07,NA,Sat,Mississippi,31,NA,Arkansas,17,Vaught-Hemingway Stadium - Oxford Mississippi
134,3,2019-09-07,NA,Sat,Mississippi State,38,NA,Southern Mississippi,15,Davis Wade Stadium - Starkville Mississippi
135,3,2019-09-07,NA,Sat,Missouri,38,NA,West Virginia,7,Faurot Field at Memorial Stadium - Columbia Missouri
136,3,2019-09-07,NA,Sat,North Carolina,28,NA,Miami (FL),25,Kenan Memorial Stadium - Chapel Hill North Carolina
137,3,2019-09-07,NA,Sat,North Carolina State,41,NA,Western Carolina,0,Carter-Finley Stadium - Raleigh North Carolina
138,3,2019-09-07,NA,Sat,Ohio State,42,NA,Cincinnati,0,Ohio Stadium - Columbus Ohio
139,3,2019-09-07,NA,Sat,Oklahoma,70,NA,South Dakota,14,Gaylord Family - Oklahoma Memorial Stadium - Norman Oklahoma
140,3,2019-09-07,NA,Sat,Oklahoma State,56,NA,McNeese State,14,Boone Pickens Stadium - Stillwater Oklahoma
141,3,2019-09-07,NA,Sat,Oregon,77,NA,Nevada,6,Autzen Stadium - Eugene Oregon
142,3,2019-09-07,NA,Sat,Penn State,45,NA,Buffalo,13,Beaver Stadium - University Park Pennsylvania
143,3,2019-09-07,NA,Sat,Pittsburgh,20,NA,Ohio,10,Heinz Field - Pittsburgh Pennsylvania
144,3,2019-09-07,NA,Sat,Purdue,42,NA,Vanderbilt,24,Ross-Ade Stadium - West Lafayette Indiana
145,3,2019-09-07,NA,Sat,San Diego State,23,@,UCLA,14,Rose Bowl - Pasadena California
146,3,2019-09-07,NA,Sat,South Alabama,37,NA,Jackson State,14,Ladd-Peebles Stadium - Mobile Alabama
147,3,2019-09-07,NA,Sat,South Carolina,72,NA,Charleston Southern,10,Williams-Brice Stadium - Columbia South Carolina
148,3,2019-09-07,NA,Sat,Southern California,45,NA,Stanford,20,Los Angeles Memorial Coliseum - Los Angeles California
149,3,2019-09-07,NA,Sat,Southern Illinois,45,@,Massachusetts,20,Warren McGuirk Alumni Stadium - Amherst Massachusetts
150,3,2019-09-07,NA,Sat,Southern Methodist,49,NA,North Texas,27,Gerald J. Ford Stadium - Dallas Texas
151,3,2019-09-07,NA,Sat,Texas Tech,38,NA,Texas-El Paso,3,Jones AT&T Stadium - Lubbock Texas
152,3,2019-09-07,NA,Sat,Tulsa,34,@,San Jose State,16,CEFCU Stadium - San Jose California
153,3,2019-09-07,NA,Sat,Utah,35,NA,Northern Illinois,17,Rice-Eccles Stadium - Salt Lake City Utah
154,3,2019-09-07,NA,Sat,Utah State,62,NA,Stony Brook,7,Merlin Olsen Field at Maverik Stadium - Logan Utah
155,3,2019-09-07,NA,Sat,Virginia Tech,31,NA,Old Dominion,17,Lane Stadium - Blacksburg Virginia
156,3,2019-09-07,NA,Sat,Washington State,59,NA,Northern Colorado,17,Martin Stadium - Pullman Washington
157,3,2019-09-07,NA,Sat,Western Kentucky,20,@,Florida International,14,Riccardo Silva Stadium - Miami Florida
158,3,2019-09-07,NA,Sat,Wisconsin,61,NA,Central Michigan,0,Camp Randall Stadium - Madison Wisconsin
159,3,2019-09-07,NA,Sat,Wyoming,23,@,Texas State,14,Bobcat Stadium - San Marcos Texas
160,4,2019-09-13,NA,Fri,Kansas,48,@,Boston College,24,Alumni Stadium - Chestnut Hill Massachusetts
161,4,2019-09-13,NA,Fri,Wake Forest,24,NA,North Carolina,18,BB&T Field - Winston-Salem North Carolina
162,4,2019-09-13,NA,Fri,Washington State,31,N,Houston,24,NRG Stadium - Houston Texas
163,4,2019-09-14,NA,Sat,Air Force,30,@,Colorado,23,Folsom Field - Boulder Colorado
164,4,2019-09-14,NA,Sat,Alabama,47,@,South Carolina,23,Williams-Brice Stadium - Columbia South Carolina
165,4,2019-09-14,NA,Sat,Arizona,28,NA,Texas Tech,14,Arizona Stadium - Tucson Arizona
166,4,2019-09-14,NA,Sat,Arizona State,10,@,Michigan State,7,Spartan Stadium - East Lansing Michigan
167,4,2019-09-14,NA,Sat,Arkansas,55,NA,Colorado State,34,Donald W. Reynolds Razorback Stadium - Fayetteville Arkansas
168,4,2019-09-14,NA,Sat,Army,31,@,Texas-San Antonio,13,Alamodome - San Antonio Texas
169,4,2019-09-14,NA,Sat,Auburn,55,NA,Kent State,16,Jordan-Hare Stadium - Auburn Alabama
170,4,2019-09-14,NA,Sat,Boise State,45,NA,Portland State,10,Albertsons Stadium - Boise Idaho
171,4,2019-09-14,NA,Sat,Brigham Young,30,NA,Southern California,27,LaVell Edwards Stadium - Provo Utah
172,4,2019-09-14,NA,Sat,California,23,NA,North Texas,17,California Memorial Stadium - Berkeley California
173,4,2019-09-14,NA,Sat,Central Florida,45,NA,Stanford,27,Spectrum Stadium - Orlando Florida
174,4,2019-09-14,NA,Sat,Central Michigan,45,NA,Akron,24,Kelly/Shorts Stadium - Mount Pleasant Michigan
175,4,2019-09-14,NA,Sat,Charlotte,52,NA,Massachusetts,17,Jerry Richardson Stadium - Charlotte North Carolina
176,4,2019-09-14,NA,Sat,Cincinnati,35,NA,Miami (OH),13,Nippert Stadium - Cincinnati Ohio
177,4,2019-09-14,NA,Sat,Citadel,27,@,Georgia Tech,24,Bobby Dodd Stadium - Atlanta Georgia
178,4,2019-09-14,NA,Sat,Clemson,41,@,Syracuse,6,Carrier Dome - Syracuse New York
179,4,2019-09-14,NA,Sat,Coastal Carolina,46,NA,Norfolk State,7,Brooks Stadium - Conway South Carolina
180,4,2019-09-14,NA,Sat,Duke,41,@,Middle Tennessee State,18,"Johnny ""Red"" Floyd Stadium - Murfreesboro Tennessee"
181,4,2019-09-14,NA,Sat,Eastern Michigan,34,@,Illinois,31,Memorial Stadium - Champaign Illinois
182,4,2019-09-14,NA,Sat,Florida,29,@,Kentucky,21,Kroger Field - Lexington Kentucky
183,4,2019-09-14,NA,Sat,Florida Atlantic,41,@,Ball State,31,Scheumann Stadium - Muncie Indiana
184,4,2019-09-14,NA,Sat,Florida International,30,NA,New Hampshire,17,Riccardo Silva Stadium - Miami Florida
185,4,2019-09-14,NA,Sat,Georgia,55,NA,Arkansas State,0,Sanford Stadium - Athens Georgia
186,4,2019-09-14,NA,Sat,Iowa,18,@,Iowa State,17,Jack Trice Stadium - Ames Iowa
187,4,2019-09-14,NA,Sat,Kansas State,31,@,Mississippi State,24,Davis Wade Stadium - Starkville Mississippi
188,4,2019-09-14,NA,Sat,Liberty,35,NA,Buffalo,17,Williams Stadium - Lynchburg Virginia
189,4,2019-09-14,NA,Sat,Louisiana,77,NA,Texas Southern,6,Cajun Field - Lafayette Louisiana
190,4,2019-09-14,NA,Sat,Louisiana State,65,NA,Northwestern State,14,Tiger Stadium - Baton Rouge Louisiana
191,4,2019-09-14,NA,Sat,Louisiana Tech,35,@,Bowling Green State,7,Doyt Perry Stadium - Bowling Green Ohio
192,4,2019-09-14,NA,Sat,Louisville,38,N,Western Kentucky,21,Nissan Stadium - Nashville Tennessee
193,4,2019-09-14,NA,Sat,Marshall,33,NA,Ohio,31,Joan C. Edwards Stadium - Huntington West Virginia
194,4,2019-09-14,NA,Sat,Memphis,42,@,South Alabama,6,Ladd-Peebles Stadium - Mobile Alabama
195,4,2019-09-14,NA,Sat,Miami (FL),63,NA,Bethune-Cookman,0,Hard Rock Stadium - Miami Gardens Florida
196,4,2019-09-14,NA,Sat,Minnesota,35,NA,Georgia Southern,32,TCF Bank Stadium - Minneapolis Minnesota
197,4,2019-09-14,NA,Sat,Mississippi,40,NA,Southeastern Louisiana,29,Vaught-Hemingway Stadium - Oxford Mississippi
198,4,2019-09-14,NA,Sat,Missouri,50,NA,Southeast Missouri State,0,Memorial Stadium/Faurot Field - Columbia Missouri
199,4,2019-09-14,NA,Sat,Navy,42,NA,East Carolina,10,Navy-Marine Corps Memorial Stadium - Annapolis Maryland
200,4,2019-09-14,NA,Sat,Nebraska,44,NA,Northern Illinois,8,Memorial Stadium - Lincoln Nebraska
201,4,2019-09-14,NA,Sat,Nevada,19,NA,Weber State,13,MacKay Stadium - Reno Nevada
202,4,2019-09-14,NA,Sat,Northwestern,30,NA,Nevada-Las Vegas,14,Ryan Field - Evanston Illinois
203,4,2019-09-14,NA,Sat,Notre Dame,66,NA,New Mexico,14,Notre Dame Stadium - South Bend Indiana
204,4,2019-09-14,NA,Sat,Ohio State,51,@,Indiana,10,"Memorial Stadium ""The Rock"" - Bloomington Indiana"
205,4,2019-09-14,NA,Sat,Oklahoma,48,@,UCLA,14,Rose Bowl - Pasadena California
206,4,2019-09-14,NA,Sat,Oklahoma State,40,@,Tulsa,21,Skelly Field at H.A. Chapman Stadium - Tulsa Oklahoma
207,4,2019-09-14,NA,Sat,Oregon,35,NA,Montana,3,Autzen Stadium - Eugene Oregon
208,4,2019-09-14,NA,Sat,Oregon State,45,NA,Cal Poly,7,Reser Stadium - Corvallis Oregon
209,4,2019-09-14,NA,Sat,Penn State,17,NA,Pittsburgh,10,Beaver Stadium - University Park Pennsylvania
210,4,2019-09-14,NA,Sat,San Diego State,31,@,New Mexico State,10,Aggie Memorial Stadium - Las Cruces New Mexico
211,4,2019-09-14,NA,Sat,South Florida,55,NA,South Carolina State,16,Raymond James Stadium - Tampa Florida
212,4,2019-09-14,NA,Sat,Southern Methodist,47,NA,Texas State,17,Gerald J. Ford Stadium - Dallas Texas
213,4,2019-09-14,NA,Sat,Southern Mississippi,47,@,Troy,42,Veterans Memorial Stadium - Troy Alabama
214,4,2019-09-14,NA,Sat,Temple,20,NA,Maryland,17,Lincoln Financial Field - Philadelphia Pennsylvania
215,4,2019-09-14,NA,Sat,Tennessee,45,NA,Chattanooga,0,Neyland Stadium - Knoxville Tennessee
216,4,2019-09-14,NA,Sat,Texas,48,N,Rice,13,NRG Stadium - Houston Texas
217,4,2019-09-14,NA,Sat,Texas A&M,62,NA,Lamar,3,Kyle Field - College Station Texas
218,4,2019-09-14,NA,Sat,Texas Christian,34,@,Purdue,13,Ross-Ade Stadium - West Lafayette Indiana
219,4,2019-09-14,NA,Sat,Toledo,45,NA,Murray State,0,Glass Bowl - Toledo Ohio
220,4,2019-09-14,NA,Sat,Tulane,58,NA,Missouri State,6,Yulman Stadium - New Orleans Louisiana
221,4,2019-09-14,NA,Sat,Utah,31,NA,Idaho State,0,Rice-Eccles Stadium - Salt Lake City Utah
222,4,2019-09-14,NA,Sat,Virginia,31,NA,Florida State,24,Scott Stadium - Charlottesville Virginia
223,4,2019-09-14,NA,Sat,Virginia Tech,24,NA,Furman,17,Lane Stadium - Blacksburg Virginia
224,4,2019-09-14,NA,Sat,Washington,52,NA,Hawaii,20,Husky Stadium - Seattle Washington
225,4,2019-09-14,NA,Sat,West Virginia,44,NA,North Carolina State,27,Mountaineer Field at Milan Puskar Stadium - Morgantown West Virginia
226,4,2019-09-14,NA,Sat,Western Michigan,57,NA,Georgia State,10,Waldo Stadium - Kalamazoo Michigan
227,4,2019-09-14,NA,Sat,Wyoming,21,NA,Idaho,16,Jonah Field War Memorial Stadium - Laramie Wyoming
228,5,2019-09-19,NA,Thu,Tulane,38,NA,Houston,31,Yulman Stadium - New Orleans Louisiana
229,5,2019-09-20,NA,Fri,Boise State,30,NA,Air Force,19,Albertsons Stadium - Boise Idaho
230,5,2019-09-20,NA,Fri,Louisiana Tech,43,NA,Florida International,31,Joe Aillet Stadium - Ruston Louisiana
231,5,2019-09-20,NA,Fri,Southern California,30,NA,Utah,23,Los Angeles Memorial Coliseum - Los Angeles California
232,5,2019-09-21,NA,Sat,Alabama,49,NA,Southern Mississippi,7,Bryant-Denny Stadium - Tuscaloosa Alabama
233,5,2019-09-21,NA,Sat,Alabama-Birmingham,35,NA,South Alabama,3,Legion Field - Birmingham Alabama
234,5,2019-09-21,NA,Sat,Appalachian State,34,@,North Carolina,31,Kenan Memorial Stadium - Chapel Hill North Carolina
235,5,2019-09-21,NA,Sat,Arkansas State,41,NA,Southern Illinois,28,Centennial Bank Stadium - Jonesboro Arkansas
236,5,2019-09-21,NA,Sat,Army,52,NA,Morgan State,21,Michie Stadium - West Point New York
237,5,2019-09-21,NA,Sat,Auburn,28,@,Texas A&M,20,Kyle Field - College Station Texas
238,5,2019-09-21,NA,Sat,Baylor,21,@,Rice,13,Rice Stadium - Houston Texas
